"owis","site"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01KL","http://www.dunamare.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01KX","http://www.betsfrijlingschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01KY","http://www.debaldakijn.picto.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01KZ","http://desleutel.sco-t.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01LB","http://www.heliomare.nl/hoe-kunnen-we-u-helpen/onderwijs"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01LP","http://www.nexus-onderwijs.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01LZ","http://www.ecl.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01MB","http://www.alfrink.nl/"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01MC","http://www.nyenrode.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01MI","http://www.heliomare.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01MO","http://www.trevianum.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01MU","http://www.demeerwaarde.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01NZ","http://www.griftland.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01OZ","http://www.koraalgroep.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01PA","http://www.emiliusschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01PD","http://www.hubnoordbrabant.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01PJ","http://www.grooteaard.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01RL","http://www.jfsg.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01ST","http://www.rehobothoz.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01TC","http://www.hlw.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01TQ","http://www.klimopschool.net"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01UC","http://www.yulius.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01UH","http://www.maartenscollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01UO","http://www.buitenhof-school.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01UQ","http://www.dewijnberg.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01VE","http://www.debronbarneveld.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01VF","http://www.dumontschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/01VG","http://www.jenaplanschool.nl/vlot"
